audio_id,chunk_id,encodec_encoder_ms,quantizer_3cb_ms,quantizer_4cb_ms,plain_pack_ms,conv_encode_pack_ms,vogeo_encode_only_ms,vogeo_pack_ms,uncoded_total_ms,conv_total_ms,proposed_total_ms
69,1,46.418167,3.822892,3.98016,0.0434,0.771481,0.458199,0.004824,50.44172699999999,51.01254,50.704082
69,2,46.503361,3.854556,3.927442,0.04868,0.768303,0.475239,0.005445,50.479482999999995,51.12622,50.838601000000004
69,3,48.275296,4.062655,3.899497,0.044507,0.75443,0.469641,0.006822,52.2193,53.092380999999996,52.814414
69,4,47.736407,3.825392,3.87048,0.047745,0.780517,0.476557,0.00618,51.654632,52.342316000000004,52.044536
69,5,44.698909,3.91165,3.949974,0.044872,0.758461,0.472363,0.00668,48.693754999999996,49.36902,49.089602000000006
69,6,46.728979,3.903202,3.864136,0.044108,0.761726,0.477359,0.006628,50.637223000000006,51.393907000000006,51.116168
69,7,46.512931,3.849757,3.869113,0.048645,0.767117,0.513257,0.006222,50.430689,51.129805,50.882167
69,8,48.000855,3.872843,3.924548,0.044233,0.761545,0.495,0.006258,51.969636,52.635243,52.374956000000005
70,0,50.021321,3.912848,4.002641,0.055133,0.780583,0.485849,0.00676,54.079094999999995,54.714752,54.426778
70,1,48.127008,3.917346,3.934965,0.045143,0.76461,0.490445,0.007718,52.107116,52.808963999999996,52.542517
70,2,48.504761,3.886524,3.884922,0.043309,0.764782,0.481028,0.007073,52.432992000000006,53.156067,52.879386000000004
70,3,47.279645,3.950925,3.915602,0.045226,0.758255,0.470639,0.00629,51.240473,51.988825,51.707499
70,4,45.761236,3.834797,3.842281,0.043807,0.760605,0.470143,0.00648,49.647324,50.356638,50.072656
70,5,45.066342,3.922212,3.972025,0.044248,0.771852,0.460188,0.005819,49.082615000000004,49.760406,49.454561000000005
70,6,48.200416,3.965164,3.923112,0.04405,0.762628,0.480037,0.007457,52.167578,52.928208,52.653074000000004
70,7,47.294186,3.88343,3.889296,0.043984,0.759913,0.463899,0.006027,51.22746600000001,51.937529,51.647542
70,8,47.184521,3.846971,3.93579,0.045517,0.763876,0.486702,0.006535,51.16582799999999,51.795368,51.524729
70,9,44.174539,3.951807,3.906043,0.043511,0.756612,0.469631,0.005877,48.124093,48.882958,48.601854
