method,audio_id,estoi,tx_gain_db
3,61,0.744262,100.00
proposed,62,0.811752,100.00
conv,62,0.809900,100.00
3,62,0.836524,100.00
proposed,63,0.767702,100.00
conv,63,0.769086,100.00
3,63,0.802604,100.00
proposed,64,0.787227,100.00
conv,64,0.787400,100.00
3,64,0.820056,100.00
proposed,65,0.785538,100.00
conv,65,0.786227,100.00
3,65,0.825029,100.00
proposed,66,0.776560,100.00
conv,66,0.778502,100.00
3,66,0.820425,100.00
proposed,67,0.792073,100.00
conv,67,0.786939,100.00
3,67,0.827841,100.00
proposed,68,0.755595,100.00
conv,68,0.754498,100.00
3,68,0.802181,100.00
proposed,69,0.776093,100.00
conv,69,0.777095,100.00
3,69,0.822219,100.00
proposed,70,0.765444,100.00
conv,70,0.763637,100.00
3,70,0.797276,100.00
proposed,71,0.767222,100.00
conv,71,0.769356,100.00
3,71,0.807345,100.00
proposed,72,0.771571,100.00
conv,72,0.770231,100.00
3,72,0.821412,100.00
proposed,73,0.758400,100.00
conv,73,0.758980,100.00
3,73,0.804571,100.00
proposed,74,0.764268,100.00
conv,74,0.762811,100.00
3,74,0.810035,100.00
proposed,75,0.788695,100.00
conv,75,0.790026,100.00
3,75,0.828199,100.00
proposed,76,0.761976,100.00
conv,76,0.763086,100.00
3,76,0.805765,100.00
proposed,77,0.758206,100.00
conv,77,0.759135,100.00
3,77,0.799189,100.00
proposed,78,0.773257,100.00
conv,78,0.773541,100.00
3,78,0.818480,100.00
proposed,79,0.773043,100.00
conv,79,0.772265,100.00
3,79,0.810271,100.00
proposed,80,0.748946,100.00
conv,80,0.751000,100.00
3,80,0.791141,100.00
proposed,81,0.810615,100.00
conv,81,0.810623,100.00
3,81,0.845799,100.00
proposed,82,0.797071,100.00
conv,82,0.797040,100.00
3,82,0.836870,100.00
proposed,83,0.821621,100.00
conv,83,0.821077,100.00
3,83,0.851414,100.00
proposed,84,0.831369,100.00
conv,84,0.831461,100.00
3,84,0.860892,100.00
proposed,85,0.803676,100.00
conv,85,0.803709,100.00
3,85,0.838113,100.00
proposed,86,0.811676,100.00
conv,86,0.810273,100.00
3,86,0.847150,100.00
proposed,87,0.819470,100.00
conv,87,0.818660,100.00
3,87,0.847296,100.00
proposed,88,0.790232,100.00
conv,88,0.789693,100.00
3,88,0.822910,100.00
proposed,89,0.816338,100.00
conv,89,0.816240,100.00
3,89,0.843777,100.00
proposed,90,0.818594,100.00
conv,90,0.817985,100.00
3,90,0.854299,100.00
proposed,91,0.835876,100.00
conv,91,0.838510,100.00
3,91,0.862165,100.00
proposed,92,0.836679,100.00
conv,92,0.836800,100.00
3,92,0.866333,100.00
proposed,93,0.823129,100.00
conv,93,0.822297,100.00
3,93,0.850364,100.00
proposed,94,0.833089,100.00
conv,94,0.832633,100.00
3,94,0.866414,100.00
proposed,95,0.821764,100.00
conv,95,0.823233,100.00
3,95,0.847024,100.00
proposed,96,0.793189,100.00
conv,96,0.788209,100.00
3,96,0.820368,100.00
proposed,97,0.797710,100.00
conv,97,0.798060,100.00
3,97,0.830839,100.00
proposed,98,0.774484,100.00
conv,98,0.773254,100.00
3,98,0.801919,100.00
proposed,99,0.811016,100.00
conv,99,0.810820,100.00
3,99,0.836242,100.00
