method,audio_id,estoi,tx_gain_db
3,14,0.109917,30.00
proposed,15,0.522133,30.00
conv,15,0.083636,30.00
3,15,0.142674,30.00
proposed,16,0.403285,30.00
conv,16,0.073526,30.00
3,16,0.118139,30.00
proposed,17,0.474041,30.00
conv,17,0.071665,30.00
3,17,0.174838,30.00
proposed,18,0.486950,30.00
conv,18,0.093338,30.00
3,18,0.162693,30.00
proposed,19,0.503895,30.00
conv,19,0.102721,30.00
3,19,0.140406,30.00
proposed,20,0.515884,30.00
conv,20,0.067590,30.00
3,20,0.142273,30.00
proposed,21,0.508827,30.00
conv,21,0.110216,30.00
3,21,0.151143,30.00
proposed,22,0.457445,30.00
conv,22,0.101109,30.00
3,22,0.142376,30.00
proposed,23,0.472019,30.00
conv,23,0.052771,30.00
3,23,0.158087,30.00
proposed,24,0.412057,30.00
conv,24,0.078556,30.00
3,24,0.116722,30.00
proposed,25,0.488091,30.00
conv,25,0.060535,30.00
3,25,0.140826,30.00
proposed,26,0.372021,30.00
conv,26,0.052897,30.00
3,26,0.129745,30.00
proposed,27,0.490603,30.00
conv,27,0.054110,30.00
3,27,0.183883,30.00
proposed,28,0.510444,30.00
conv,28,0.088369,30.00
3,28,0.185767,30.00
proposed,29,0.495222,30.00
conv,29,0.068930,30.00
3,29,0.149877,30.00
proposed,30,0.507114,30.00
conv,30,0.093652,30.00
3,30,0.157969,30.00
proposed,31,0.508627,30.00
conv,31,0.121050,30.00
3,31,0.219364,30.00
proposed,32,0.276431,30.00
conv,32,0.035235,30.00
3,32,0.065021,30.00
proposed,33,0.444319,30.00
conv,33,0.105472,30.00
3,33,0.141346,30.00
proposed,34,0.497946,30.00
conv,34,0.088640,30.00
3,34,0.131710,30.00
proposed,35,0.526479,30.00
conv,35,0.129733,30.00
3,35,0.191598,30.00
proposed,36,0.412116,30.00
conv,36,0.068780,30.00
3,36,0.146226,30.00
proposed,37,0.476634,30.00
conv,37,0.088273,30.00
3,37,0.127384,30.00
proposed,38,0.494262,30.00
conv,38,0.114549,30.00
3,38,0.144014,30.00
proposed,39,0.494849,30.00
conv,39,0.093259,30.00
3,39,0.175197,30.00
proposed,40,0.460637,30.00
conv,40,0.057274,30.00
3,40,0.184294,30.00
proposed,41,0.476537,30.00
conv,41,0.086142,30.00
3,41,0.126680,30.00
proposed,42,0.535709,30.00
conv,42,0.099433,30.00
3,42,0.166380,30.00
proposed,43,0.495068,30.00
conv,43,0.103792,30.00
3,43,0.122597,30.00
proposed,44,0.461066,30.00
conv,44,0.078959,30.00
3,44,0.141154,30.00
proposed,45,0.480924,30.00
conv,45,0.055579,30.00
3,45,0.147625,30.00
proposed,46,0.503906,30.00
conv,46,0.077284,30.00
3,46,0.148060,30.00
proposed,47,0.513913,30.00
conv,47,0.103377,30.00
3,47,0.151265,30.00
proposed,48,0.370278,30.00
conv,48,0.028632,30.00
3,48,0.101084,30.00
proposed,49,0.440537,30.00
conv,49,0.083739,30.00
3,49,0.141777,30.00
proposed,50,0.478955,30.00
conv,50,0.072737,30.00
3,50,0.161471,30.00
proposed,51,0.424047,30.00
conv,51,0.057186,30.00
3,51,0.135002,30.00
proposed,52,0.436241,30.00
conv,52,0.060152,30.00
3,52,0.131728,30.00
proposed,53,0.440857,30.00
conv,53,0.052832,30.00
3,53,0.114866,30.00
proposed,54,0.490759,30.00
conv,54,0.083144,30.00
3,54,0.166727,30.00
proposed,55,0.463210,30.00
conv,55,0.085654,30.00
3,55,0.119462,30.00
proposed,56,0.477463,30.00
conv,56,0.079189,30.00
3,56,0.164590,30.00
proposed,57,0.440000,30.00
conv,57,0.092902,30.00
3,57,0.111420,30.00
proposed,58,0.428880,30.00
conv,58,0.134387,30.00
3,58,0.168542,30.00
proposed,59,0.394757,30.00
conv,59,0.053232,30.00
3,59,0.104635,30.00
proposed,60,0.435921,30.00
conv,60,0.088335,30.00
3,60,0.174624,30.00
proposed,61,0.412803,30.00
conv,61,0.089078,30.00
3,61,0.127605,30.00
proposed,62,0.531939,30.00
conv,62,0.127025,30.00
3,62,0.199280,30.00
proposed,63,0.468534,30.00
conv,63,0.087454,30.00
3,63,0.158976,30.00
proposed,64,0.486347,30.00
conv,64,0.059903,30.00
3,64,0.134990,30.00
proposed,65,0.325206,30.00
conv,65,0.078124,30.00
3,65,0.132904,30.00
proposed,66,0.307595,30.00
conv,66,0.101103,30.00
3,66,0.133466,30.00
proposed,67,0.389816,30.00
conv,67,0.097156,30.00
3,67,0.154494,30.00
proposed,68,0.410656,30.00
conv,68,0.068119,30.00
3,68,0.151748,30.00
proposed,69,0.394958,30.00
conv,69,0.114483,30.00
3,69,0.168724,30.00
proposed,70,0.399532,30.00
conv,70,0.110941,30.00
3,70,0.137210,30.00
proposed,71,0.303122,30.00
conv,71,0.102598,30.00
3,71,0.145131,30.00
proposed,72,0.379794,30.00
conv,72,0.109652,30.00
3,72,0.210442,30.00
proposed,73,0.308380,30.00
conv,73,0.063659,30.00
3,73,0.159103,30.00
proposed,74,0.363000,30.00
conv,74,0.084170,30.00
3,74,0.153842,30.00
proposed,75,0.450779,30.00
conv,75,0.046350,30.00
3,75,0.133155,30.00
proposed,76,0.407609,30.00
conv,76,0.081253,30.00
3,76,0.154421,30.00
proposed,77,0.398715,30.00
conv,77,0.110289,30.00
3,77,0.166761,30.00
proposed,78,0.405864,30.00
conv,78,0.089039,30.00
3,78,0.124784,30.00
proposed,79,0.378100,30.00
conv,79,0.041701,30.00
3,79,0.114319,30.00
proposed,80,0.372936,30.00
conv,80,0.080856,30.00
3,80,0.168938,30.00
proposed,81,0.486427,30.00
conv,81,0.120451,30.00
3,81,0.190879,30.00
proposed,82,0.440352,30.00
conv,82,0.107991,30.00
3,82,0.152547,30.00
proposed,83,0.444417,30.00
conv,83,0.115143,30.00
3,83,0.201687,30.00
proposed,84,0.483417,30.00
conv,84,0.084488,30.00
3,84,0.181526,30.00
proposed,85,0.366334,30.00
conv,85,0.068616,30.00
3,85,0.133623,30.00
proposed,86,0.461634,30.00
conv,86,0.105515,30.00
3,86,0.158327,30.00
proposed,87,0.497898,30.00
conv,87,0.077154,30.00
3,87,0.165634,30.00
proposed,88,0.396769,30.00
conv,88,0.120454,30.00
3,88,0.190626,30.00
proposed,89,0.469842,30.00
conv,89,0.099046,30.00
3,89,0.167792,30.00
proposed,90,0.458010,30.00
conv,90,0.080718,30.00
3,90,0.171810,30.00
proposed,91,0.500701,30.00
conv,91,0.097424,30.00
3,91,0.201141,30.00
proposed,92,0.523131,30.00
conv,92,0.109904,30.00
3,92,0.181387,30.00
proposed,93,0.506942,30.00
conv,93,0.100666,30.00
3,93,0.168019,30.00
proposed,94,0.474434,30.00
conv,94,0.113159,30.00
3,94,0.180743,30.00
proposed,95,0.539163,30.00
conv,95,0.115917,30.00
3,95,0.194602,30.00
proposed,96,0.495433,30.00
conv,96,0.083564,30.00
3,96,0.176884,30.00
proposed,97,0.473892,30.00
conv,97,0.081816,30.00
3,97,0.208729,30.00
proposed,98,0.402471,30.00
conv,98,0.079285,30.00
3,98,0.098899,30.00
proposed,99,0.504473,30.00
conv,99,0.087846,30.00
3,99,0.135058,30.00
proposed,0,0.581640,32.00
conv,0,0.185305,32.00
3,0,0.230125,32.00
proposed,1,0.612472,32.00
conv,1,0.387310,32.00
3,1,0.282343,32.00
proposed,2,0.650848,32.00
conv,2,0.441964,32.00
3,2,0.277794,32.00
proposed,3,0.633713,32.00
conv,3,0.428491,32.00
3,3,0.351369,32.00
proposed,4,0.609006,32.00
conv,4,0.424257,32.00
3,4,0.310476,32.00
proposed,5,0.662412,32.00
conv,5,0.405436,32.00
3,5,0.336111,32.00
proposed,6,0.652065,32.00
conv,6,0.460083,32.00
3,6,0.321105,32.00
proposed,7,0.701169,32.00
conv,7,0.456097,32.00
3,7,0.333483,32.00
proposed,8,0.662044,32.00
conv,8,0.421430,32.00
3,8,0.331974,32.00
proposed,9,0.634886,32.00
conv,9,0.425347,32.00
3,9,0.325686,32.00
proposed,10,0.630384,32.00
conv,10,0.416300,32.00
3,10,0.304243,32.00
