method,audio_id,pesq,tx_gain_db
proposed,82,1.037082,27.00
conv,82,1.031196,27.00
ldpc,82,1.025882,27.00
3,82,1.024297,27.00
proposed,83,1.030528,27.00
conv,83,1.022412,27.00
ldpc,83,1.020941,27.00
3,83,1.022627,27.00
proposed,84,1.040292,27.00
conv,84,1.031203,27.00
ldpc,84,1.026695,27.00
3,84,1.028433,27.00
proposed,85,1.029535,27.00
conv,85,1.019737,27.00
ldpc,85,1.020633,27.00
3,85,1.045810,27.00
proposed,86,1.055006,27.00
conv,86,1.026259,27.00
ldpc,86,1.040414,27.00
3,86,1.063423,27.00
proposed,87,1.032536,27.00
conv,87,1.022831,27.00
ldpc,87,1.028824,27.00
3,87,1.023120,27.00
proposed,88,1.025827,27.00
conv,88,1.031078,27.00
ldpc,88,1.041755,27.00
3,88,1.027292,27.00
proposed,89,1.037477,27.00
conv,89,1.026546,27.00
ldpc,89,1.021400,27.00
3,89,1.024916,27.00
proposed,90,1.042024,27.00
conv,90,1.059283,27.00
ldpc,90,1.030317,27.00
3,90,1.048314,27.00
proposed,91,1.031362,27.00
conv,91,1.077554,27.00
ldpc,91,1.022708,27.00
3,91,1.022384,27.00
proposed,92,1.054824,27.00
conv,92,1.022929,27.00
ldpc,92,1.024920,27.00
3,92,1.025437,27.00
proposed,93,1.045988,27.00
conv,93,1.022069,27.00
ldpc,93,1.034894,27.00
3,93,1.042004,27.00
proposed,94,1.030727,27.00
conv,94,1.026117,27.00
ldpc,94,1.126210,27.00
3,94,1.042033,27.00
proposed,96,1.047220,27.00
conv,96,1.053791,27.00
ldpc,96,1.053550,27.00
3,96,1.052724,27.00
proposed,97,1.040749,27.00
conv,97,1.023235,27.00
ldpc,97,1.027622,27.00
3,97,1.032786,27.00
proposed,98,1.031478,27.00
conv,98,1.037543,27.00
ldpc,98,1.031299,27.00
3,98,1.043255,27.00
proposed,99,1.029419,27.00
conv,99,1.026680,27.00
ldpc,99,1.024434,27.00
3,99,1.025134,27.00
proposed,0,1.082627,29.00
conv,0,1.059658,29.00
ldpc,0,1.064004,29.00
3,0,1.046358,29.00
proposed,1,1.084037,29.00
conv,1,1.046477,29.00
ldpc,1,1.071421,29.00
3,1,1.039916,29.00
proposed,2,1.073005,29.00
conv,2,1.098852,29.00
ldpc,2,1.175136,29.00
3,2,1.085034,29.00
proposed,4,1.143459,29.00
conv,4,1.065120,29.00
ldpc,4,1.073653,29.00
3,4,1.059396,29.00
proposed,5,1.067884,29.00
conv,5,1.065545,29.00
ldpc,5,1.068105,29.00
3,5,1.067443,29.00
proposed,6,1.094508,29.00
conv,6,1.025501,29.00
ldpc,6,1.040774,29.00
3,6,1.040631,29.00
proposed,7,1.099024,29.00
conv,7,1.047534,29.00
ldpc,7,1.161378,29.00
3,7,1.027915,29.00
proposed,8,1.138854,29.00
conv,8,1.116423,29.00
ldpc,8,1.037871,29.00
3,8,1.037619,29.00
proposed,9,1.089200,29.00
conv,9,1.026646,29.00
ldpc,9,1.039911,29.00
3,9,1.034332,29.00
proposed,10,1.047758,29.00
conv,10,1.028041,29.00
ldpc,10,1.103244,29.00
3,10,1.036928,29.00
proposed,11,1.069419,29.00
conv,11,1.041981,29.00
ldpc,11,1.050423,29.00
3,11,1.038368,29.00
proposed,12,1.095247,29.00
conv,12,1.054219,29.00
ldpc,12,1.056129,29.00
3,12,1.043785,29.00
proposed,13,1.105965,29.00
conv,13,1.068060,29.00
ldpc,13,1.039635,29.00
3,13,1.042205,29.00
proposed,14,1.078580,29.00
conv,14,1.991327,29.00
ldpc,14,1.029278,29.00
3,14,1.024756,29.00
proposed,15,1.079464,29.00
conv,15,1.389977,29.00
ldpc,15,1.044842,29.00
3,15,1.028070,29.00
proposed,16,1.103926,29.00
conv,16,1.027364,29.00
ldpc,16,1.032516,29.00
3,16,1.029220,29.00
proposed,17,1.084301,29.00
conv,17,1.040897,29.00
ldpc,17,1.037773,29.00
3,17,1.027654,29.00
proposed,18,1.076009,29.00
conv,18,1.096313,29.00
ldpc,18,1.025613,29.00
3,18,1.029562,29.00
proposed,19,1.039323,29.00
conv,19,1.036633,29.00
ldpc,19,1.031642,29.00
3,19,1.033435,29.00
proposed,20,1.079847,29.00
conv,20,1.032407,29.00
ldpc,20,1.052857,29.00
3,20,1.038477,29.00
proposed,21,1.082483,29.00
conv,21,1.035206,29.00
ldpc,21,1.038665,29.00
3,21,1.035829,29.00
proposed,22,1.084181,29.00
conv,22,1.032926,29.00
ldpc,22,1.056629,29.00
3,22,1.043305,29.00
proposed,23,1.079207,29.00
conv,23,1.067748,29.00
ldpc,23,1.103540,29.00
3,23,1.031312,29.00
proposed,24,1.084104,29.00
conv,24,1.057392,29.00
ldpc,24,1.056683,29.00
3,24,1.037282,29.00
proposed,25,1.068430,29.00
conv,25,1.052217,29.00
ldpc,25,1.033691,29.00
3,25,1.036729,29.00
proposed,26,1.069765,29.00
conv,26,1.040586,29.00
ldpc,26,1.040615,29.00
3,26,1.032978,29.00
proposed,27,1.075483,29.00
conv,27,1.093845,29.00
ldpc,27,1.052229,29.00
3,27,1.032731,29.00
proposed,28,1.085916,29.00
conv,28,1.073648,29.00
ldpc,28,1.045540,29.00
3,28,1.038626,29.00
proposed,29,1.054174,29.00
conv,29,1.043273,29.00
ldpc,29,1.121768,29.00
3,29,1.173297,29.00
proposed,30,1.088616,29.00
conv,30,1.067352,29.00
ldpc,30,1.031099,29.00
3,30,1.050128,29.00
proposed,31,1.078871,29.00
conv,31,1.262643,29.00
ldpc,31,1.039690,29.00
3,31,1.036697,29.00
proposed,32,1.066456,29.00
conv,32,1.116764,29.00
ldpc,32,1.088819,29.00
3,32,1.032694,29.00
proposed,33,1.059078,29.00
conv,33,1.056939,29.00
ldpc,33,1.033012,29.00
3,33,1.033727,29.00
proposed,34,1.086835,29.00
conv,34,1.105027,29.00
ldpc,34,1.032475,29.00
3,34,1.089872,29.00
proposed,35,1.054598,29.00
conv,35,1.023919,29.00
ldpc,35,1.033749,29.00
3,35,1.024934,29.00
proposed,36,1.064956,29.00
conv,36,1.042439,29.00
ldpc,36,1.050426,29.00
3,36,1.031994,29.00
proposed,37,1.083772,29.00
conv,37,1.029073,29.00
ldpc,37,1.028513,29.00
3,37,1.033315,29.00
proposed,38,1.066392,29.00
conv,38,1.037479,29.00
ldpc,38,1.052212,29.00
3,38,1.033970,29.00
proposed,39,1.071228,29.00
conv,39,1.033303,29.00
ldpc,39,1.110555,29.00
3,39,1.027922,29.00
proposed,40,1.076107,29.00
conv,40,1.027772,29.00
ldpc,40,1.038071,29.00
3,40,1.039188,29.00
proposed,41,1.083377,29.00
conv,41,1.028900,29.00
ldpc,41,1.040386,29.00
3,41,1.043422,29.00
proposed,42,1.068312,29.00
conv,42,1.066963,29.00
ldpc,42,1.058608,29.00
3,42,1.066535,29.00
proposed,43,1.067721,29.00
conv,43,1.284681,29.00
ldpc,43,1.056529,29.00
3,43,1.037164,29.00
proposed,44,1.079682,29.00
conv,44,1.047936,29.00
ldpc,44,1.057275,29.00
3,44,1.049583,29.00
proposed,45,1.100461,29.00
conv,45,1.072078,29.00
ldpc,45,1.036362,29.00
3,45,1.042248,29.00
proposed,46,1.078928,29.00
conv,46,1.042167,29.00
ldpc,46,1.066639,29.00
3,46,1.041138,29.00
proposed,47,1.059748,29.00
conv,47,1.027591,29.00
ldpc,47,1.038943,29.00
3,47,1.096656,29.00
proposed,48,1.203098,29.00
conv,48,1.045446,29.00
ldpc,48,1.045470,29.00
3,48,1.051944,29.00
proposed,49,1.089463,29.00
conv,49,1.052830,29.00
ldpc,49,1.055141,29.00
3,49,1.089483,29.00
proposed,50,1.080925,29.00
conv,50,1.030429,29.00
ldpc,50,1.030463,29.00
3,50,1.041691,29.00
proposed,51,1.129234,29.00
conv,51,1.045679,29.00
ldpc,51,1.053209,29.00
3,51,1.058185,29.00
proposed,52,1.150943,29.00
conv,52,1.054241,29.00
ldpc,52,1.037131,29.00
3,52,1.035743,29.00
proposed,53,1.133536,29.00
conv,53,1.032178,29.00
ldpc,53,1.053114,29.00
3,53,1.035214,29.00
proposed,54,1.109863,29.00
conv,54,1.031620,29.00
ldpc,54,1.035638,29.00
3,54,1.058319,29.00
proposed,55,1.106211,29.00
conv,55,1.048068,29.00
ldpc,55,1.063728,29.00
3,55,1.044295,29.00
proposed,56,1.105050,29.00
conv,56,1.036831,29.00
ldpc,56,1.034192,29.00
3,56,1.060763,29.00
proposed,57,1.097141,29.00
conv,57,1.064808,29.00
ldpc,57,1.046105,29.00
3,57,1.048236,29.00
proposed,58,1.122794,29.00
conv,58,1.043113,29.00
ldpc,58,1.044563,29.00
3,58,1.048733,29.00
proposed,59,1.108212,29.00
conv,59,1.110071,29.00
ldpc,59,1.048859,29.00
3,59,1.043462,29.00
proposed,60,1.091269,29.00
conv,60,1.075248,29.00
ldpc,60,1.281299,29.00
3,60,1.058865,29.00
proposed,61,1.082861,29.00
conv,61,1.038249,29.00
ldpc,61,1.052795,29.00
3,61,1.063352,29.00
proposed,62,1.123814,29.00
conv,62,1.049240,29.00
ldpc,62,1.052407,29.00
3,62,1.055777,29.00
proposed,63,1.093924,29.00
conv,63,1.079202,29.00
ldpc,63,1.044737,29.00
3,63,1.031606,29.00
proposed,64,1.131764,29.00
conv,64,1.049084,29.00
ldpc,64,1.067660,29.00
3,64,1.039004,29.00
proposed,65,1.034847,29.00
conv,65,1.029101,29.00
ldpc,65,1.029837,29.00
3,65,1.036005,29.00
proposed,66,1.063566,29.00
conv,66,1.046380,29.00
ldpc,66,1.047025,29.00
3,66,1.032735,29.00
proposed,67,1.070609,29.00
conv,67,1.059603,29.00
ldpc,67,1.031153,29.00
3,67,1.033597,29.00
proposed,68,1.061027,29.00
conv,68,1.058841,29.00
ldpc,68,1.051003,29.00
3,68,1.042904,29.00
proposed,69,1.044891,29.00
conv,69,1.038737,29.00
ldpc,69,1.030939,29.00
3,69,1.034782,29.00
proposed,70,1.048295,29.00
conv,70,1.026229,29.00
ldpc,70,1.033327,29.00
3,70,1.032595,29.00
proposed,71,1.061646,29.00
conv,71,1.084893,29.00
ldpc,71,1.039889,29.00
3,71,1.044980,29.00
proposed,72,1.082813,29.00
conv,72,1.055396,29.00
ldpc,72,1.040471,29.00
3,72,1.033574,29.00
proposed,73,1.050900,29.00
conv,73,1.024908,29.00
ldpc,73,1.036149,29.00
3,73,1.028724,29.00
proposed,74,1.052381,29.00
conv,74,1.026241,29.00
ldpc,74,1.048255,29.00
3,74,1.023590,29.00
proposed,75,1.049330,29.00
conv,75,1.024827,29.00
ldpc,75,1.053391,29.00
3,75,1.026175,29.00
proposed,76,1.054640,29.00
conv,76,1.049846,29.00
ldpc,76,1.028155,29.00
3,76,1.033562,29.00
proposed,77,1.064648,29.00
conv,77,1.098239,29.00
ldpc,77,1.048330,29.00
3,77,1.038852,29.00
proposed,78,1.071210,29.00
conv,78,1.034010,29.00
ldpc,78,1.030488,29.00
3,78,1.039670,29.00
proposed,79,1.102616,29.00
conv,79,1.040379,29.00
ldpc,79,1.041974,29.00
3,79,1.052274,29.00
proposed,80,1.057556,29.00
conv,80,1.021733,29.00
ldpc,80,1.024855,29.00
3,80,1.028909,29.00
proposed,81,1.053810,29.00
conv,81,1.026219,29.00
ldpc,81,1.046719,29.00
3,81,1.035794,29.00
proposed,82,1.062531,29.00
conv,82,1.028667,29.00
ldpc,82,1.037115,29.00
3,82,1.029127,29.00
proposed,83,1.041625,29.00
conv,83,1.020157,29.00
ldpc,83,1.028149,29.00
3,83,1.026325,29.00
proposed,84,1.064257,29.00
conv,84,1.029458,29.00
ldpc,84,1.025551,29.00
3,84,1.028352,29.00
proposed,85,1.043427,29.00
conv,85,1.022594,29.00
ldpc,85,1.020338,29.00
3,85,1.024649,29.00
proposed,86,1.051628,29.00
conv,86,1.027952,29.00
ldpc,86,1.033872,29.00
3,86,1.028654,29.00
proposed,87,1.053880,29.00
conv,87,1.038475,29.00
ldpc,87,1.036705,29.00
3,87,1.034589,29.00
proposed,88,1.033836,29.00
conv,88,1.029286,29.00
ldpc,88,1.023052,29.00
3,88,1.036229,29.00
proposed,89,1.049836,29.00
conv,89,1.029258,29.00
ldpc,89,1.046437,29.00
3,89,1.023735,29.00
proposed,90,1.063199,29.00
conv,90,1.049273,29.00
ldpc,90,1.029363,29.00
3,90,1.051351,29.00
proposed,91,1.047385,29.00
conv,91,1.025888,29.00
ldpc,91,1.029234,29.00
3,91,1.024977,29.00
proposed,92,1.064475,29.00
conv,92,1.023538,29.00
ldpc,92,1.026603,29.00
3,92,1.032821,29.00
proposed,93,1.081186,29.00
conv,93,1.047649,29.00
ldpc,93,1.032447,29.00
3,93,1.029178,29.00
proposed,94,1.049650,29.00
conv,94,1.030008,29.00
ldpc,94,1.035131,29.00
3,94,1.034745,29.00
proposed,95,1.062605,29.00
conv,95,1.032965,29.00
ldpc,95,1.026501,29.00
3,95,1.049457,29.00
proposed,96,1.047048,29.00
conv,96,1.061247,29.00
ldpc,96,1.025686,29.00
3,96,1.028955,29.00
proposed,97,1.068579,29.00
conv,97,1.039063,29.00
ldpc,97,1.043001,29.00
3,97,1.073839,29.00
proposed,98,1.072751,29.00
conv,98,1.029580,29.00
ldpc,98,1.037818,29.00
3,98,1.049681,29.00
proposed,99,1.060493,29.00
conv,99,1.023090,29.00
ldpc,99,1.026336,29.00
3,99,1.027343,29.00
proposed,3,1.045269,29.00
conv,3,1.103736,29.00
ldpc,3,1.226848,29.00
3,3,1.088148,29.00
proposed,0,1.283089,31.00
conv,0,1.049798,31.00
ldpc,0,1.046782,31.00
3,0,1.037712,31.00
proposed,1,1.162037,31.00
conv,1,1.048628,31.00
ldpc,1,1.039358,31.00
3,1,1.036790,31.00
proposed,2,1.295794,31.00
conv,2,1.039218,31.00
ldpc,2,1.035223,31.00
3,2,1.031496,31.00
proposed,3,1.221405,31.00
conv,3,1.032931,31.00
ldpc,3,1.034910,31.00
3,3,1.034950,31.00
proposed,4,1.238387,31.00
conv,4,1.043663,31.00
ldpc,4,1.031357,31.00
3,4,1.036983,31.00
proposed,5,1.205701,31.00
conv,5,1.042162,31.00
ldpc,5,1.033679,31.00
3,5,1.034631,31.00
proposed,6,1.189303,31.00
conv,6,1.033423,31.00
ldpc,6,1.037610,31.00
3,6,1.036346,31.00
proposed,7,1.181174,31.00
conv,7,1.030560,31.00
ldpc,7,1.030986,31.00
3,7,1.034315,31.00
proposed,8,1.188240,31.00
conv,8,1.042302,31.00
ldpc,8,1.044025,31.00
3,8,1.033732,31.00
proposed,9,1.153679,31.00
conv,9,1.041610,31.00
ldpc,9,1.038662,31.00
3,9,1.035803,31.00
proposed,10,1.157194,31.00
conv,10,1.027398,31.00
ldpc,10,1.042870,31.00
3,10,1.086404,31.00
proposed,11,1.153913,31.00
conv,11,1.040583,31.00
ldpc,11,1.030754,31.00
3,11,1.036923,31.00
proposed,12,1.149491,31.00
conv,12,1.028559,31.00
ldpc,12,1.065360,31.00
3,12,1.039183,31.00
proposed,13,1.160563,31.00
conv,13,1.052350,31.00
ldpc,13,1.030289,31.00
3,13,1.037560,31.00
proposed,14,1.050353,31.00
conv,14,1.024287,31.00
ldpc,14,1.023779,31.00
3,14,1.025311,31.00
proposed,15,1.068272,31.00
conv,15,1.058642,31.00
ldpc,15,1.034031,31.00
3,15,1.031060,31.00
proposed,16,1.274350,31.00
conv,16,1.037120,31.00
ldpc,16,1.031623,31.00
3,16,1.033651,31.00
proposed,17,1.203351,31.00
conv,17,1.032638,31.00
ldpc,17,1.032820,31.00
3,17,1.034293,31.00
proposed,18,1.100331,31.00
conv,18,1.033695,31.00
ldpc,18,1.035006,31.00
3,18,1.031922,31.00
proposed,19,1.243193,31.00
conv,19,1.034999,31.00
ldpc,19,1.037061,31.00
3,19,1.036705,31.00
proposed,20,1.190067,31.00
conv,20,1.030459,31.00
ldpc,20,1.032502,31.00
3,20,1.033191,31.00
proposed,21,1.186255,31.00
conv,21,1.036179,31.00
ldpc,21,1.035503,31.00
3,21,1.034117,31.00
proposed,22,1.182542,31.00
conv,22,1.041013,31.00
ldpc,22,1.037989,31.00
3,22,1.036345,31.00
proposed,23,1.278473,31.00
conv,23,1.031283,31.00
ldpc,23,1.028695,31.00
3,23,1.029413,31.00
proposed,24,1.157145,31.00
conv,24,1.036762,31.00
ldpc,24,1.034265,31.00
3,24,1.033110,31.00
proposed,25,1.179624,31.00
conv,25,1.037760,31.00
ldpc,25,1.036359,31.00
3,25,1.036818,31.00
proposed,26,1.182911,31.00
conv,26,1.042749,31.00
ldpc,26,1.034473,31.00
3,26,1.032405,31.00
proposed,27,1.166407,31.00
conv,27,1.029677,31.00
ldpc,27,1.031835,31.00
3,27,1.034651,31.00
proposed,28,1.188129,31.00
conv,28,1.039807,31.00
ldpc,28,1.034676,31.00
3,28,1.029631,31.00
proposed,29,1.138878,31.00
conv,29,1.032882,31.00
ldpc,29,1.034840,31.00
3,29,1.031946,31.00
proposed,30,1.256655,31.00
conv,30,1.066361,31.00
ldpc,30,1.038522,31.00
3,30,1.033809,31.00
proposed,31,1.137400,31.00
conv,31,1.039234,31.00
ldpc,31,1.033978,31.00
3,31,1.028143,31.00
