method,audio_id,pesq,tx_gain_db
proposed,83,1.298120,35.00
conv,83,1.316841,35.00
ldpc,83,1.742364,35.00
3,83,1.057893,35.00
proposed,84,1.423999,35.00
conv,84,1.249009,35.00
ldpc,84,1.829159,35.00
3,84,1.058718,35.00
proposed,85,1.302810,35.00
conv,85,1.258518,35.00
ldpc,85,1.796413,35.00
3,85,1.063031,35.00
proposed,86,1.384250,35.00
conv,86,1.347724,35.00
ldpc,86,1.721404,35.00
3,86,1.062833,35.00
proposed,87,1.330017,35.00
conv,87,1.326885,35.00
ldpc,87,1.787690,35.00
3,87,1.084850,35.00
proposed,88,1.175790,35.00
conv,88,1.211646,35.00
ldpc,88,1.548512,35.00
3,88,1.048134,35.00
proposed,89,1.268797,35.00
conv,89,1.260754,35.00
ldpc,89,1.643896,35.00
3,89,1.051291,35.00
proposed,90,1.246955,35.00
conv,90,1.165068,35.00
ldpc,90,1.208889,35.00
3,90,1.070789,35.00
proposed,91,1.505372,35.00
conv,91,1.463812,35.00
ldpc,91,2.033507,35.00
3,91,1.079903,35.00
proposed,92,1.360425,35.00
conv,92,1.406041,35.00
ldpc,92,1.635525,35.00
3,92,1.067278,35.00
proposed,93,1.575969,35.00
conv,93,1.377540,35.00
ldpc,93,2.178110,35.00
3,93,1.064598,35.00
proposed,94,1.340097,35.00
conv,94,1.336491,35.00
ldpc,94,1.808295,35.00
3,94,1.077664,35.00
proposed,95,1.432379,35.00
conv,95,1.495988,35.00
ldpc,95,1.886791,35.00
3,95,1.075060,35.00
proposed,96,1.533551,35.00
conv,96,1.553743,35.00
ldpc,96,2.025914,35.00
3,96,1.059210,35.00
proposed,97,1.456231,35.00
conv,97,1.507210,35.00
ldpc,97,1.878781,35.00
3,97,1.060690,35.00
proposed,98,1.554142,35.00
conv,98,1.372086,35.00
ldpc,98,1.823588,35.00
3,98,1.065274,35.00
proposed,99,1.345051,35.00
conv,99,1.309052,35.00
ldpc,99,1.809408,35.00
3,99,1.055626,35.00
proposed,0,1.889825,37.00
conv,0,2.052193,37.00
ldpc,0,2.057320,37.00
3,0,1.231950,37.00
proposed,1,2.125347,37.00
conv,1,2.292204,37.00
ldpc,1,2.299387,37.00
3,1,1.258467,37.00
proposed,2,2.132963,37.00
conv,2,2.299827,37.00
ldpc,2,2.304521,37.00
3,2,1.203873,37.00
proposed,3,2.031791,37.00
conv,3,2.146454,37.00
ldpc,3,2.162460,37.00
3,3,1.220620,37.00
proposed,4,2.066918,37.00
conv,4,2.057329,37.00
ldpc,4,2.089980,37.00
3,4,2.484468,37.00
proposed,5,2.043082,37.00
conv,5,2.225281,37.00
ldpc,5,2.316209,37.00
3,5,1.150263,37.00
proposed,6,2.070864,37.00
conv,6,2.164228,37.00
ldpc,6,2.169621,37.00
3,6,1.418005,37.00
proposed,7,2.304065,37.00
conv,7,2.340077,37.00
ldpc,7,2.352910,37.00
3,7,2.042628,37.00
proposed,8,2.309022,37.00
conv,8,2.345970,37.00
ldpc,8,2.350459,37.00
3,8,1.709944,37.00
proposed,9,2.102108,37.00
conv,9,2.109184,37.00
ldpc,9,2.115821,37.00
3,9,2.183811,37.00
proposed,10,2.159969,37.00
conv,10,2.213126,37.00
ldpc,10,2.215206,37.00
3,10,2.115703,37.00
proposed,11,2.210464,37.00
conv,11,2.262262,37.00
ldpc,11,2.264320,37.00
3,11,2.313461,37.00
proposed,12,2.077941,37.00
conv,12,2.151820,37.00
ldpc,12,2.160419,37.00
3,12,2.346351,37.00
proposed,13,2.026661,37.00
conv,13,2.109001,37.00
ldpc,13,2.112386,37.00
3,13,2.029024,37.00
proposed,14,2.075433,37.00
conv,14,2.120266,37.00
ldpc,14,2.127046,37.00
3,14,1.947421,37.00
proposed,15,2.224923,37.00
conv,15,2.260578,37.00
ldpc,15,2.263251,37.00
3,15,2.126315,37.00
proposed,16,2.264271,37.00
conv,16,2.265769,37.00
ldpc,16,2.275544,37.00
3,16,2.299930,37.00
proposed,17,2.007246,37.00
conv,17,2.073812,37.00
ldpc,17,2.073668,37.00
3,17,2.222993,37.00
proposed,18,2.079608,37.00
conv,18,2.074807,37.00
ldpc,18,2.113137,37.00
3,18,2.039798,37.00
proposed,19,2.212402,37.00
conv,19,2.198980,37.00
ldpc,19,2.217443,37.00
3,19,2.155799,37.00
proposed,20,1.968217,37.00
conv,20,2.046947,37.00
ldpc,20,2.061857,37.00
3,20,1.525595,37.00
proposed,21,2.078697,37.00
conv,21,2.094194,37.00
ldpc,21,2.097793,37.00
3,21,1.529680,37.00
proposed,22,2.103220,37.00
conv,22,2.129666,37.00
ldpc,22,2.152514,37.00
3,22,2.406997,37.00
proposed,23,2.142178,37.00
conv,23,2.153366,37.00
ldpc,23,2.161766,37.00
3,23,1.839647,37.00
proposed,24,2.083600,37.00
conv,24,2.099989,37.00
ldpc,24,2.111484,37.00
3,24,1.583873,37.00
proposed,25,2.028961,37.00
conv,25,2.069010,37.00
ldpc,25,2.072973,37.00
3,25,1.628576,37.00
proposed,26,2.015922,37.00
conv,26,2.064027,37.00
ldpc,26,2.067521,37.00
3,26,1.929048,37.00
proposed,27,2.187601,37.00
conv,27,2.241477,37.00
ldpc,27,2.246991,37.00
3,27,1.961519,37.00
proposed,28,1.784569,37.00
conv,28,1.566782,37.00
ldpc,28,1.535138,37.00
3,28,1.485621,37.00
proposed,29,1.966924,37.00
conv,29,2.037574,37.00
ldpc,29,2.044320,37.00
3,29,1.621956,37.00
proposed,30,2.272987,37.00
conv,30,2.340680,37.00
ldpc,30,2.342303,37.00
3,30,2.340702,37.00
proposed,31,2.084122,37.00
conv,31,2.109151,37.00
ldpc,31,2.115460,37.00
3,31,1.546527,37.00
proposed,32,2.126798,37.00
conv,32,2.150125,37.00
ldpc,32,2.164333,37.00
3,32,1.937171,37.00
proposed,33,2.084999,37.00
conv,33,2.136280,37.00
ldpc,33,2.138040,37.00
3,33,1.763379,37.00
proposed,34,2.202819,37.00
conv,34,2.246011,37.00
ldpc,34,2.269200,37.00
3,34,2.226403,37.00
proposed,35,2.204893,37.00
conv,35,2.213116,37.00
ldpc,35,2.224529,37.00
3,35,1.955176,37.00
proposed,36,2.195060,37.00
conv,36,2.222264,37.00
ldpc,36,2.237004,37.00
3,36,1.588933,37.00
proposed,37,2.061651,37.00
conv,37,2.044629,37.00
ldpc,37,2.100449,37.00
3,37,2.081599,37.00
proposed,38,2.180262,37.00
conv,38,2.218811,37.00
ldpc,38,2.222955,37.00
3,38,1.601990,37.00
proposed,39,2.166610,37.00
conv,39,2.210414,37.00
ldpc,39,2.215997,37.00
3,39,2.143988,37.00
proposed,40,2.081848,37.00
conv,40,2.121289,37.00
ldpc,40,2.135846,37.00
3,40,1.581351,37.00
proposed,41,2.206520,37.00
conv,41,2.242409,37.00
ldpc,41,2.249706,37.00
3,41,2.336920,37.00
proposed,42,2.175379,37.00
conv,42,2.245020,37.00
ldpc,42,2.254877,37.00
3,42,1.626548,37.00
proposed,43,1.993884,37.00
conv,43,2.038778,37.00
ldpc,43,2.047853,37.00
3,43,1.696848,37.00
proposed,44,2.044051,37.00
conv,44,1.946503,37.00
ldpc,44,2.042274,37.00
3,44,1.752177,37.00
proposed,45,2.091925,37.00
conv,45,2.115345,37.00
ldpc,45,2.125223,37.00
3,45,1.948895,37.00
proposed,46,2.084500,37.00
conv,46,2.124082,37.00
ldpc,46,2.133845,37.00
3,46,1.585945,37.00
proposed,47,2.086650,37.00
conv,47,2.096182,37.00
ldpc,47,2.134802,37.00
3,47,1.780658,37.00
proposed,48,2.004239,37.00
conv,48,1.997067,37.00
ldpc,48,2.045702,37.00
3,48,1.426602,37.00
proposed,49,1.915863,37.00
conv,49,1.976874,37.00
ldpc,49,1.992746,37.00
3,49,1.833997,37.00
proposed,50,1.910007,37.00
conv,50,1.966181,37.00
ldpc,50,1.975191,37.00
3,50,1.487612,37.00
proposed,51,1.965985,37.00
conv,51,1.975155,37.00
ldpc,51,1.996333,37.00
3,51,1.719854,37.00
proposed,52,1.951547,37.00
conv,52,2.050994,37.00
ldpc,52,2.066508,37.00
3,52,1.455487,37.00
proposed,53,1.847587,37.00
conv,53,1.883837,37.00
ldpc,53,1.929600,37.00
3,53,1.360910,37.00
proposed,54,2.053337,37.00
conv,54,2.049230,37.00
ldpc,54,2.061599,37.00
3,54,2.177930,37.00
proposed,55,1.982235,37.00
conv,55,2.003233,37.00
ldpc,55,2.003732,37.00
3,55,2.296654,37.00
proposed,56,2.121448,37.00
conv,56,2.123846,37.00
ldpc,56,2.132768,37.00
3,56,2.391294,37.00
proposed,57,1.900532,37.00
conv,57,1.946655,37.00
ldpc,57,1.959537,37.00
3,57,1.388708,37.00
proposed,58,2.070818,37.00
conv,58,2.180712,37.00
ldpc,58,2.192737,37.00
3,58,1.695339,37.00
proposed,59,1.977216,37.00
conv,59,2.081743,37.00
ldpc,59,2.081545,37.00
3,59,1.577235,37.00
proposed,60,2.053065,37.00
conv,60,2.094399,37.00
ldpc,60,2.102370,37.00
3,60,1.694623,37.00
proposed,61,2.027190,37.00
conv,61,2.084532,37.00
ldpc,61,2.084642,37.00
3,61,1.795040,37.00
proposed,62,2.085142,37.00
conv,62,2.165051,37.00
ldpc,62,2.175014,37.00
3,62,1.892456,37.00
proposed,63,1.867559,37.00
conv,63,2.002937,37.00
ldpc,63,2.003752,37.00
3,63,1.421818,37.00
proposed,64,1.905751,37.00
conv,64,2.064653,37.00
ldpc,64,2.075683,37.00
3,64,1.565686,37.00
proposed,65,1.250528,37.00
conv,65,1.339776,37.00
ldpc,65,1.338785,37.00
3,65,1.165157,37.00
proposed,66,1.453206,37.00
conv,66,1.513388,37.00
ldpc,66,1.524243,37.00
3,66,1.327747,37.00
proposed,67,1.603521,37.00
conv,67,1.643699,37.00
ldpc,67,1.664228,37.00
3,67,1.537349,37.00
proposed,68,1.420714,37.00
conv,68,1.484602,37.00
ldpc,68,1.488104,37.00
3,68,1.430447,37.00
proposed,69,1.449463,37.00
conv,69,1.494144,37.00
ldpc,69,1.496094,37.00
3,69,1.342588,37.00
proposed,70,1.419793,37.00
conv,70,1.459871,37.00
ldpc,70,1.480574,37.00
3,70,1.337574,37.00
proposed,71,1.455313,37.00
conv,71,1.576464,37.00
ldpc,71,1.577835,37.00
3,71,1.611502,37.00
proposed,72,1.464619,37.00
conv,72,1.442624,37.00
ldpc,72,1.512604,37.00
3,72,1.548072,37.00
proposed,73,1.326305,37.00
conv,73,1.362208,37.00
ldpc,73,1.364118,37.00
3,73,1.433455,37.00
proposed,74,1.320345,37.00
conv,74,1.412443,37.00
ldpc,74,1.411246,37.00
3,74,1.410665,37.00
proposed,75,1.419033,37.00
conv,75,1.415013,37.00
ldpc,75,1.478563,37.00
3,75,1.519601,37.00
proposed,76,1.317097,37.00
conv,76,1.436317,37.00
ldpc,76,1.425671,37.00
3,76,1.182061,37.00
proposed,77,1.436144,37.00
conv,77,1.544009,37.00
ldpc,77,1.561930,37.00
3,77,1.123282,37.00
proposed,78,1.343230,37.00
conv,78,1.463299,37.00
ldpc,78,1.476400,37.00
3,78,1.140306,37.00
proposed,79,1.499975,37.00
conv,79,1.590957,37.00
ldpc,79,1.601251,37.00
3,79,1.218141,37.00
proposed,80,1.317576,37.00
conv,80,1.437599,37.00
ldpc,80,1.441797,37.00
3,80,1.152003,37.00
proposed,81,1.596338,37.00
conv,81,1.737007,37.00
ldpc,81,1.761285,37.00
3,81,1.255944,37.00
proposed,82,1.771835,37.00
conv,82,1.927173,37.00
ldpc,82,1.928014,37.00
3,82,1.231688,37.00
proposed,83,1.503203,37.00
conv,83,1.734172,37.00
ldpc,83,1.742704,37.00
3,83,1.128429,37.00
proposed,84,1.647025,37.00
conv,84,1.828766,37.00
ldpc,84,1.829159,37.00
3,84,1.150938,37.00
proposed,85,1.642046,37.00
conv,85,1.723337,37.00
ldpc,85,1.796413,37.00
3,85,1.365360,37.00
proposed,86,1.717013,37.00
conv,86,1.721655,37.00
ldpc,86,1.722454,37.00
3,86,1.498844,37.00
proposed,87,1.801270,37.00
conv,87,1.785276,37.00
ldpc,87,1.787690,37.00
3,87,2.092938,37.00
proposed,88,1.502915,37.00
conv,88,1.619459,37.00
ldpc,88,1.637108,37.00
3,88,1.265026,37.00
proposed,89,1.481382,37.00
conv,89,1.629308,37.00
ldpc,89,1.643896,37.00
3,89,1.172402,37.00
proposed,90,1.423869,37.00
conv,90,1.508308,37.00
ldpc,90,1.511361,37.00
3,90,1.240673,37.00
proposed,91,1.838660,37.00
conv,91,2.036494,37.00
ldpc,91,2.042304,37.00
3,91,1.417408,37.00
proposed,92,1.721401,37.00
conv,92,1.968683,37.00
ldpc,92,2.024063,37.00
3,92,1.257281,37.00
proposed,93,2.002238,37.00
conv,93,2.165969,37.00
ldpc,93,2.178110,37.00
3,93,1.353455,37.00
proposed,94,1.718446,37.00
conv,94,1.891874,37.00
ldpc,94,1.896804,37.00
3,94,1.292415,37.00
proposed,95,1.678011,37.00
conv,95,1.858997,37.00
ldpc,95,1.886791,37.00
3,95,1.238494,37.00
proposed,96,1.891782,37.00
conv,96,2.002797,37.00
ldpc,96,2.025914,37.00
3,96,1.245306,37.00
proposed,97,1.908989,37.00
conv,97,1.963857,37.00
ldpc,97,1.966584,37.00
3,97,1.701872,37.00
proposed,98,2.053443,37.00
conv,98,1.996725,37.00
ldpc,98,2.068496,37.00
3,98,2.021569,37.00
proposed,99,1.783063,37.00
conv,99,1.796541,37.00
ldpc,99,1.809408,37.00
3,99,1.608432,37.00
proposed,0,2.057192,39.00
conv,0,2.056334,39.00
ldpc,0,2.057320,39.00
3,0,2.256669,39.00
proposed,1,2.290485,39.00
conv,1,2.287491,39.00
ldpc,1,2.299387,39.00
3,1,2.410761,39.00
proposed,2,2.300523,39.00
conv,2,2.296552,39.00
ldpc,2,2.304521,39.00
3,2,2.613178,39.00
proposed,3,2.132076,39.00
conv,3,2.146522,39.00
ldpc,3,2.162460,39.00
3,3,2.417802,39.00
proposed,4,2.081300,39.00
conv,4,2.078564,39.00
ldpc,4,2.089980,39.00
3,4,2.482058,39.00
proposed,5,2.304833,39.00
conv,5,2.299592,39.00
ldpc,5,2.316209,39.00
3,5,2.596207,39.00
proposed,6,2.162614,39.00
conv,6,2.164361,39.00
ldpc,6,2.169621,39.00
3,6,2.477640,39.00
proposed,7,2.324066,39.00
conv,7,2.355918,39.00
ldpc,7,2.352910,39.00
3,7,2.555513,39.00
proposed,8,2.349574,39.00
conv,8,2.340558,39.00
ldpc,8,2.350459,39.00
3,8,2.648872,39.00
proposed,9,2.104581,39.00
conv,9,2.105108,39.00
ldpc,9,2.115821,39.00
3,9,2.426202,39.00
proposed,10,2.214694,39.00
conv,10,2.213334,39.00
ldpc,10,2.215206,39.00
3,10,2.494636,39.00
proposed,11,2.255371,39.00
conv,11,2.252353,39.00
ldpc,11,2.264320,39.00
3,11,2.538515,39.00
proposed,12,2.174416,39.00
conv,12,2.127318,39.00
ldpc,12,2.160419,39.00
3,12,2.509398,39.00
proposed,13,2.101063,39.00
conv,13,2.105278,39.00
ldpc,13,2.112386,39.00
3,13,2.442697,39.00
proposed,14,2.120506,39.00
conv,14,2.125741,39.00
ldpc,14,2.127046,39.00
3,14,2.412472,39.00
proposed,15,2.255941,39.00
conv,15,2.257437,39.00
ldpc,15,2.263251,39.00
3,15,2.397468,39.00
proposed,16,2.215683,39.00
conv,16,2.263398,39.00
ldpc,16,2.275544,39.00
3,16,2.506608,39.00
proposed,17,2.065237,39.00
conv,17,2.059995,39.00
ldpc,17,2.073668,39.00
3,17,2.412780,39.00
proposed,18,2.111603,39.00
conv,18,2.082243,39.00
ldpc,18,2.113137,39.00
3,18,2.466552,39.00
proposed,19,2.217205,39.00
conv,19,2.196169,39.00
ldpc,19,2.217443,39.00
3,19,2.587233,39.00
proposed,20,2.028791,39.00
conv,20,2.042719,39.00
ldpc,20,2.061857,39.00
3,20,2.273397,39.00
proposed,21,2.090325,39.00
conv,21,2.095216,39.00
ldpc,21,2.097793,39.00
3,21,2.435891,39.00
proposed,22,2.149000,39.00
conv,22,2.148744,39.00
ldpc,22,2.152514,39.00
3,22,2.401108,39.00
proposed,23,2.161109,39.00
conv,23,2.158839,39.00
ldpc,23,2.161766,39.00
3,23,2.501364,39.00
proposed,24,2.111564,39.00
conv,24,2.095948,39.00
ldpc,24,2.111484,39.00
3,24,2.420203,39.00
proposed,25,2.068814,39.00
conv,25,2.064168,39.00
ldpc,25,2.072973,39.00
3,25,2.157386,39.00
proposed,26,2.063389,39.00
conv,26,2.047158,39.00
ldpc,26,2.067521,39.00
3,26,2.243979,39.00
proposed,27,2.237724,39.00
conv,27,2.233540,39.00
ldpc,27,2.246991,39.00
3,27,2.349025,39.00
proposed,28,2.120135,39.00
conv,28,2.024035,39.00
ldpc,28,2.120235,39.00
3,28,2.395272,39.00
proposed,29,2.028362,39.00
conv,29,2.039430,39.00
ldpc,29,2.044320,39.00
3,29,1.843997,39.00
proposed,30,1.459705,39.00
conv,30,1.488208,39.00
ldpc,30,1.454953,39.00
3,30,1.469268,39.00
proposed,31,2.107547,39.00
conv,31,2.095403,39.00
ldpc,31,2.115460,39.00
3,31,2.480382,39.00
proposed,32,2.150964,39.00
conv,32,2.065809,39.00
ldpc,32,2.164333,39.00
3,32,2.457896,39.00
proposed,33,2.137848,39.00
conv,33,2.130410,39.00
ldpc,33,2.138040,39.00
3,33,2.338695,39.00
proposed,34,2.247927,39.00
conv,34,2.210218,39.00
ldpc,34,2.269200,39.00
3,34,2.518392,39.00
proposed,35,2.209065,39.00
conv,35,2.213930,39.00
ldpc,35,2.224529,39.00
3,35,2.568931,39.00
proposed,36,2.221629,39.00
conv,36,2.226496,39.00
ldpc,36,2.237004,39.00
3,36,2.438425,39.00
proposed,37,2.099270,39.00
conv,37,2.097338,39.00
ldpc,37,2.100449,39.00
3,37,2.281610,39.00
proposed,38,2.225202,39.00
conv,38,2.215500,39.00
ldpc,38,2.222955,39.00
3,38,2.476424,39.00
proposed,39,2.207469,39.00
conv,39,2.200606,39.00
ldpc,39,2.215997,39.00
3,39,2.459954,39.00
proposed,40,2.126925,39.00
conv,40,2.126504,39.00
ldpc,40,2.135846,39.00
3,40,2.426366,39.00
proposed,41,2.231225,39.00
conv,41,2.243902,39.00
ldpc,41,2.249706,39.00
3,41,2.489566,39.00
proposed,42,2.248629,39.00
conv,42,2.230094,39.00
ldpc,42,2.254877,39.00
3,42,2.565166,39.00
proposed,43,2.036450,39.00
conv,43,2.026122,39.00
ldpc,43,2.047853,39.00
3,43,2.256786,39.00
proposed,44,2.034959,39.00
conv,44,2.033444,39.00
ldpc,44,2.042274,39.00
3,44,2.371566,39.00
proposed,45,2.127441,39.00
conv,45,2.047165,39.00
ldpc,45,2.125223,39.00
3,45,2.310435,39.00
proposed,46,2.115662,39.00
conv,46,2.129320,39.00
ldpc,46,2.133845,39.00
3,46,2.470725,39.00
proposed,47,2.125813,39.00
conv,47,2.102505,39.00
ldpc,47,2.134802,39.00
3,47,2.421453,39.00
proposed,48,2.029492,39.00
conv,48,2.004766,39.00
ldpc,48,2.045702,39.00
3,48,2.084287,39.00
proposed,49,1.972427,39.00
conv,49,1.987176,39.00
ldpc,49,1.992746,39.00
3,49,2.157145,39.00
proposed,50,1.961292,39.00
conv,50,1.971885,39.00
ldpc,50,1.975191,39.00
3,50,2.131198,39.00
proposed,51,1.987425,39.00
conv,51,1.929882,39.00
ldpc,51,1.996333,39.00
3,51,2.329659,39.00
proposed,52,2.049533,39.00
conv,52,2.062205,39.00
ldpc,52,2.066508,39.00
3,52,2.350826,39.00
proposed,53,1.918357,39.00
conv,53,1.914746,39.00
ldpc,53,1.929600,39.00
3,53,2.069815,39.00
proposed,54,2.037568,39.00
conv,54,2.036628,39.00
ldpc,54,2.061599,39.00
3,54,2.327872,39.00
proposed,55,1.966845,39.00
conv,55,1.980622,39.00
ldpc,55,2.003732,39.00
3,55,2.312124,39.00
proposed,56,2.104417,39.00
conv,56,2.126535,39.00
ldpc,56,2.132768,39.00
3,56,2.389358,39.00
proposed,57,1.927433,39.00
conv,57,1.940292,39.00
ldpc,57,1.959537,39.00
3,57,2.197698,39.00
proposed,58,2.188569,39.00
conv,58,2.185977,39.00
ldpc,58,2.192737,39.00
3,58,2.492441,39.00
proposed,59,2.070701,39.00
conv,59,2.054829,39.00
ldpc,59,2.081545,39.00
3,59,2.359190,39.00
proposed,60,2.092357,39.00
conv,60,2.094431,39.00
ldpc,60,2.102370,39.00
3,60,2.291435,39.00
proposed,61,2.071656,39.00
conv,61,2.082739,39.00
ldpc,61,2.084642,39.00
3,61,2.349873,39.00
proposed,62,2.152558,39.00
conv,62,2.167506,39.00
ldpc,62,2.175014,39.00
3,62,2.099235,39.00
proposed,63,1.975121,39.00
conv,63,2.003794,39.00
ldpc,63,2.003752,39.00
3,63,2.327604,39.00
proposed,64,2.045209,39.00
conv,64,2.028513,39.00
ldpc,64,2.075683,39.00
3,64,2.220276,39.00
proposed,65,1.336364,39.00
conv,65,1.336643,39.00
ldpc,65,1.338785,39.00
3,65,1.514000,39.00
proposed,66,1.513126,39.00
conv,66,1.517852,39.00
ldpc,66,1.524243,39.00
3,66,1.518987,39.00
proposed,67,1.619871,39.00
conv,67,1.663965,39.00
ldpc,67,1.664228,39.00
3,67,1.976434,39.00
proposed,68,1.472465,39.00
conv,68,1.484621,39.00
ldpc,68,1.488104,39.00
3,68,1.647510,39.00
proposed,69,1.417281,39.00
conv,69,1.493243,39.00
ldpc,69,1.496094,39.00
3,69,1.637956,39.00
proposed,70,1.473088,39.00
conv,70,1.473883,39.00
ldpc,70,1.480574,39.00
3,70,1.677633,39.00
proposed,71,1.550543,39.00
conv,71,1.572441,39.00
ldpc,71,1.577835,39.00
3,71,1.649438,39.00
proposed,72,1.493477,39.00
conv,72,1.510569,39.00
ldpc,72,1.512604,39.00
3,72,1.772825,39.00
proposed,73,1.362746,39.00
conv,73,1.361046,39.00
ldpc,73,1.364118,39.00
3,73,1.490464,39.00
proposed,74,1.370198,39.00
conv,74,1.408500,39.00
ldpc,74,1.411246,39.00
3,74,1.551358,39.00
proposed,75,1.475147,39.00
conv,75,1.478057,39.00
ldpc,75,1.478563,39.00
3,75,1.465781,39.00
proposed,76,1.409893,39.00
conv,76,1.437207,39.00
ldpc,76,1.425671,39.00
3,76,1.672177,39.00
proposed,77,1.554174,39.00
conv,77,1.558661,39.00
ldpc,77,1.561930,39.00
3,77,1.789584,39.00
proposed,78,1.453566,39.00
conv,78,1.421793,39.00
ldpc,78,1.476400,39.00
3,78,1.688253,39.00
proposed,79,1.597952,39.00
conv,79,1.581353,39.00
ldpc,79,1.601251,39.00
3,79,1.789907,39.00
proposed,80,1.430411,39.00
conv,80,1.440607,39.00
ldpc,80,1.441797,39.00
3,80,1.742137,39.00
proposed,81,1.758459,39.00
conv,81,1.760701,39.00
ldpc,81,1.761285,39.00
3,81,2.015044,39.00
proposed,82,1.923097,39.00
conv,82,1.922496,39.00
ldpc,82,1.928014,39.00
3,82,2.164208,39.00
proposed,83,1.729758,39.00
conv,83,1.728267,39.00
ldpc,83,1.742704,39.00
3,83,2.029719,39.00
proposed,84,1.828493,39.00
conv,84,1.829320,39.00
ldpc,84,1.829159,39.00
3,84,2.085501,39.00
proposed,85,1.795303,39.00
conv,85,1.744032,39.00
ldpc,85,1.796413,39.00
3,85,1.928554,39.00
proposed,86,1.724180,39.00
conv,86,1.714034,39.00
ldpc,86,1.722454,39.00
3,86,1.923082,39.00
proposed,87,1.785369,39.00
conv,87,1.785128,39.00
ldpc,87,1.787690,39.00
3,87,2.039280,39.00
proposed,88,1.277626,39.00
conv,88,1.238998,39.00
ldpc,88,1.274136,39.00
3,88,1.232445,39.00
proposed,89,1.593306,39.00
conv,89,1.639806,39.00
ldpc,89,1.643896,39.00
3,89,1.839836,39.00
proposed,90,1.509085,39.00
conv,90,1.509897,39.00
ldpc,90,1.511361,39.00
3,90,1.642241,39.00
proposed,91,2.044642,39.00
conv,91,2.041956,39.00
ldpc,91,2.042304,39.00
3,91,2.281538,39.00
proposed,92,2.013709,39.00
conv,92,2.020790,39.00
ldpc,92,2.024063,39.00
3,92,2.036801,39.00
proposed,93,2.161694,39.00
conv,93,2.139639,39.00
ldpc,93,2.178110,39.00
3,93,2.236030,39.00
proposed,94,1.888757,39.00
conv,94,1.888208,39.00
ldpc,94,1.896804,39.00
3,94,2.133450,39.00
proposed,95,1.876518,39.00
conv,95,1.826826,39.00
ldpc,95,1.886791,39.00
3,95,2.042322,39.00
proposed,96,2.012192,39.00
conv,96,1.948734,39.00
ldpc,96,2.025914,39.00
3,96,2.248983,39.00
proposed,97,1.950992,39.00
conv,97,1.941062,39.00
ldpc,97,1.966584,39.00
3,97,2.030532,39.00
proposed,98,2.065842,39.00
conv,98,2.056320,39.00
ldpc,98,2.068496,39.00
3,98,2.371736,39.00
proposed,99,1.788907,39.00
conv,99,1.794932,39.00
ldpc,99,1.809408,39.00
3,99,1.907184,39.00
