method,audio_id,si_sdr_db,tx_gain_db
proposed,51,-18.778045,28.00
proposed,52,-17.807344,28.00
proposed,53,-21.380711,28.00
proposed,54,-19.447817,28.00
proposed,55,-18.669751,28.00
proposed,56,-20.527598,28.00
proposed,57,-19.173722,28.00
proposed,58,-21.294589,28.00
proposed,59,-25.209136,28.00
proposed,60,-24.760462,28.00
proposed,61,-15.873548,28.00
proposed,62,-19.016855,28.00
proposed,63,-19.718057,28.00
proposed,64,-21.567360,28.00
proposed,65,-30.661211,28.00
proposed,66,-37.875939,28.00
proposed,67,-27.703576,28.00
proposed,68,-34.145006,28.00
proposed,69,-39.349154,28.00
proposed,70,-27.856807,28.00
proposed,71,-37.842605,28.00
proposed,72,-27.499759,28.00
proposed,73,-35.747797,28.00
proposed,74,-23.719845,28.00
proposed,75,-30.372169,28.00
proposed,76,-34.559259,28.00
proposed,77,-30.718379,28.00
proposed,78,-37.865387,28.00
proposed,79,0.000000,28.00
proposed,80,-43.401835,28.00
proposed,81,0.000000,28.00
proposed,82,0.000000,28.00
proposed,83,0.000000,28.00
proposed,84,0.000000,28.00
proposed,85,0.000000,28.00
proposed,86,-37.322573,28.00
proposed,87,-37.165160,28.00
proposed,88,-27.427347,28.00
proposed,89,-23.241509,28.00
proposed,90,-27.169324,28.00
proposed,91,-17.890472,28.00
proposed,92,-21.855562,28.00
proposed,93,-20.121303,28.00
proposed,94,-30.369543,28.00
proposed,95,-35.816022,28.00
proposed,96,-20.945572,28.00
proposed,97,-34.861788,28.00
proposed,98,-25.438995,28.00
proposed,99,-22.530614,28.00
3,0,-33.556658,30.00
3,1,-24.251841,30.00
3,2,-19.097093,30.00
3,3,-19.982284,30.00
3,4,-20.643857,30.00
3,5,-19.418245,30.00
3,6,-19.997895,30.00
3,7,-19.132961,30.00
3,8,-20.050632,30.00
3,9,-18.572309,30.00
3,10,-20.565413,30.00
3,11,-18.539873,30.00
3,12,-20.412875,30.00
3,13,-21.621038,30.00
3,14,-19.245906,30.00
3,15,-20.339518,30.00
3,16,-23.546034,30.00
3,17,-23.084258,30.00
3,18,-19.440471,30.00
3,19,-18.417110,30.00
3,20,-19.790866,30.00
3,21,-19.353474,30.00
3,22,-17.526224,30.00
3,23,-21.162703,30.00
3,24,-21.326589,30.00
3,25,-19.628903,30.00
3,26,-26.498194,30.00
3,27,-19.472100,30.00
3,28,-19.237666,30.00
3,29,-19.409604,30.00
3,30,-19.527116,30.00
3,31,-17.676758,30.00
3,32,-24.362584,30.00
3,33,-18.593215,30.00
3,34,-20.533410,30.00
